Tissue,Density_kg_m3,Speed_m_s,Impedance_MRayl,Attenuation_dB_cm_MHz
Air,1.2,343,0.0004,12.0
Lung,300.0,600,0.18,41.0
Fat,920.0,1450,1.33,0.63
Water,1000.0,1480,1.48,0.002
Blood,1060.0,1570,1.66,0.18
Liver,1060.0,1550,1.64,0.5
Kidney,1040.0,1560,1.62,0.5
Muscle,1050.0,1580,1.66,1.09
Soft Tissue (avg),1040.0,1540,1.6,0.5
Gallstone,1800.0,2500,4.5,1.0
Bone,1900.0,3500,6.65,10.0
